,index,text,labels
63,63,Bringing us to Bring the RainMake it Rain  On Mar  Q used âBring the Rainâ again along with Enjoy the Sâ httpstcoyZsaKvLPBZ,0
64,64,Last wk I posted a thread on how there is a âtent cityâ being built at GITMO to contain K âmigrantsâ whileâ httpstcoPvZpIrkTx,0
65,65,With that in mind could âBring the rainâ be taken literally Like make it rain on this fâers who will essenâ httpstcoqCcghSf,0
66,66,So IMO these  Q phrases are all linked and I believe the common denominator w them is GITMO Which justâ httpstcoVMcgpRSZm,0
67,67,In the middle of the night on Sun a flight took off from Miami landed at Langley Base in DC and then tooâ httpstcoqsarfXksU,0
68,68,Finally on  anon quotes POTUS on âenemy combatantsâ  GITMO during the SOTU address   Qanonâ httpstcoDCBhbXVD,0
69,69,The day after was that train crash w the Republican congress on board Q states that âUSMCâ is on guard US Mâ httpstcofKKVPUhx,0
70,70,Because on Mar  Q would use âUSMCâ again this time saying USMC activated This is yet another link suggâ httpstcojyEfqlp,0
71,71,The boards are being shilled pretty hard today w people questioning QanonPosts  Id like to interrupt your norâ httpstcoIhKyyagP,0
72,72,ISIS is on its last breath  Why  Saudi purge  Who else funds ISIS  See how fast they disappeared once theâ httpstcoWYkXKNKiJ,0
73,73,There was a massive roundup of Saudi elites including AlWaleed bin Talal notable for his endless meddling inâ httpstcoowqTYgz,0
74,74,Look at how many people in Hollywood have been outed and I dont mean the phony metoo movement I meanâ httpstcolgSXzeNfvc,0
75,75,NorthKorea suddenly wants to make deals amp negotiate denuclearization  Did this happen by accident  The sameâ httpstcohEjLljxWe,0
76,76,Look at all the resignations from top corporate positions more than   Definitely not a normal occurrenceâ httpstcozYGgOPvc,0
77,77,Have you ever seen so many people in Congress either resign or not seek another term in office  Big timeâ httpstcotCEGVcXF,0
78,78,The veil is being lifted on the MSM  Every day we are more and more aware of how fake the news is and how itâ httpstcoMveCqQhgC,0
79,79,Massive corruption at the FBI and DOJ is being exposed  The releasethememo moment was only the start  Theâ httpstcofcGtKQU,0
80,80,MS is finally a focus area  We learned from the Politico expose about how Obama let Hezbollah run wild aâ httpstcoBZORWuM,0
81,81,Slowly traction is developing on an InternetBillOfRights  The IBOR is fundamental to free flow of informatioâ httpstcoYtLtYmnJus,0
82,82,HumanTrafficking arrests are way up under POTUS  Thousands of kids have been rescued worldwide httpstcoHDHWPyZ,0
83,83,Related to HumanTrafficking and ChildTrafficking the realDonaldTrump executive order seizing assets was sigâ httpstcoVwNZifc,0
84,84,Per PACER searches the number of sealed indictments have been increasing almost daily  On average there havâ httpstcojYqaWMcpW,0
85,85,Israeli PrimeMinister Netanyahu is currently under investigation for CORRUPTION and its anticipated hisâ httpstcoGxsqopDBO,0
86,86,The truth about LasVegasShooting is starting emerge  More will follow    Qanon    httpstcoSemNayM,0
87,87,DOJ and other agency investigations are now open into FISAabuse ClintonFoundation leaking FastAndFuriousâ httpstcoFfrAyNH,0
88,88,Taking down corruption at this unprecedented level is an incredibly complex task  Has POTUS failed to live upâ httpstcouJenfpb,0
89,89,THREAD Best podcast episodes on Crypto Blockchain ICO Token Bitcoin economy in  ranked randomly  bonuâ httpstcoRqltzBov,0
90,90,The quiet master of cryptocurrency w NickSzabo amp hosted by tferriss httpstcoKgdrxybvZy,0
91,91,Why crypto tokens matter w cdixon amp FEhrsam hosted by az httpstcoOkDRpf,0
92,92,Crypto hedge funds w KyleSamani amp multicoincap hosted by ClayCollins httpstcozxZmXMQ,0
93,93,Bitcoin amp Bitcoin Cash debate w rogerkver amp lopp hosted by ThomasEWoods httpstcoelZJzxte,0
94,94,Bitcoins true potential w aantonop hosted by kevinrose httpstcosqTBONKdb,0
95,95,VitalikButerin on DAO Casper and Blockchain interoperability hosted by epicenterbtc httpstconBmvVinSXL,0
96,96,How to value a crypto asset w cburniske hosted by patrick_oshag httpstcoJcvSrKQEy,0
97,97,Bitcoin business amp adoption w ErikVoorhees hosted by fernandoulrich of crypto_voices httpstcoHanRDtVN,0
98,98,Discussions with SatoshiLite on future amp LTC hosted by teedubya amp joelcomm httpstcorSsBFVgJ,0
99,99,jimmysong on cryptoverse hosted by KennethBosak httpstcoVvptZUcXmJ,0
100,100,naval on squeezing VCs amp regulations hosted by laurashin httpstcoJOBjZNpYU,0
101,101,On investments with zxocw of polychaincap by AdamDraper httpstcoOTYgmrU,0
102,102,BONUS Best Podcast Episode of  is by farnamstreet w naval on Reading Happiness Systems for Decision Makinâ httpstcoxHFCFCvE,0
103,103,Honorable mention and shout out to WorldCryptoNet and Offchain series by jimmysong gt lots of time invested and wâ httpstcoGeheaFXy,0
104,104,Another honourable mention CryptoHaruspex by thecryptosyn httpstcocbzsaWqq,0
105,105,And one more mention LedgerCast by ledgerstatus httpstcofVWGdNPIi,0
106,106,The Intelligence Mafia by Heather Marsh written almost a decade ago still very trueâ httpstcoBfasRgzM,0
107,107,What is the difference between a terrorist and a soldier The actions are now identical both act to produce terrorâ httpstconXSHBDVjGp,0
108,108,The US intelligence infrastructure is not just huge it is colossal a parallel society living among us yes us wâ httpstcozlkpQtAr,0
109,109,According to their research there are  government agencies more than  private companies  locationâ httpstcorNTsdoHit,0
110,110,Can you even imagine the amount of data here This is what the US calls âinformation dominanceâ and a âglobal surveâ httpstcoJqdwMwq,0
111,111,In   of all intelligence budgets were spent on private contractors That was  years ago and we donât kâ httpstcoycBCfpi,0
112,112,Obama used the terms âamerican intelligenceâ and âamerican militaryâ to play games with the truth see âamerican trâ httpstcoLEkcASHES,0
113,113,And there are other much more important reasons for private contractors they are allowed to make huge donations toâ httpstcoTJxEzFYS,0
114,114,Like military contractors private companies also are not bound by government procedure their contracts are classiâ httpstcosCYNHDPox,0
115,115,They also have a classified bid system that makes corruption between private companies amp politicians particularly eâ httpstcormizgTQdn,0
116,116,They are paid with huge amounts of tax money and in turn are in a position to drastically influence governmentalâ httpstcoqwHQsJscN,0
117,117,âNot only were private contractors involved in the extreme interrogation techniques at Guantanamo Bay and Abu Ghraiâ httpstcorVRhIWvytI,0
118,118,And in hotspots around the world private contractors are taking the place of government operatives In Pakistanâ httpstcoBaUqrFgoQ,0
119,119,In the Baghdad CIA station contractors have sometimes outnumbered government employees and have taken supervisoryâ httpstcolthCUssRzT,0
120,120,Not frightened yet Well leave it to Xe Ze evil Blackwater dudes  By yet another name they are Total Intelligeâ httpstcojteFgVWp,0
121,121,This private company staffed by ex members of all branches of US government intelligence has been aggressively maâ httpstcoeTeVpMwnsZ,0
122,122,Former CIA agent contacts and classified knowledge is being put on the open market internationally This is from aâ httpstcoIUfFbWMv,0
123,123,There is a key word there Privateâ For those who only care about the US yes they can contract to other countriesâ httpstcoxPnEdOhEB,0
124,124,There are only two possible explanations for a sovereign nation to bankrupt its own citizens amp its government in orâ httpstcocMFDuZusB,0
125,125,One everyone is completely insane or two it has not been a sovereign nation for a long time Now is the time toâ httpstcoqCYznBfiZ,0
126,126,Thread rogerkver has been speaking around Korea such as at deconomy along with Excellion Jcpâ httpstcomORTdxwLm,0
127,127,rogerkver and many others overestimated Bitcoin technology in the early days pitching it in certain way basedâ httpstcojrmzCG,0
128,128,starting with a promotion of httpstcoOWbdOGTZj  several pointers this website presents itself as a Bitcoiâ httpstcoUwLjFzOqU,0
129,129,rogerkver can say that he didnt change to BCH and he can say that BCH is Bitcoin but if nobody else sees itâ httpstcoZpqroeIC,0
130,130,rogerkver claims BCH is cheaper to send has lower fees than Bitcoin BTC This is true for any coins that eiâ httpstcovKiKfevRM,0
131,131,rogerkver claimed BCH is not doublespendable False Unconfirmed transactions have no consensus by definitionâ httpstcoCEqpPI,0
132,132,rogerkver often claims that BCH is basically instant while Bitcoin can take several days If you pay the râ httpstcowYHHpJQk,0
133,133,rogerkver claimed BCH is more reliable than Bitcoin because your transaction will get into the next block Falâ httpstcocSFEzhab,0
134,134,rogerkver says people wrestled control of Bitcoin away from others False This shows a complete misunderstaâ httpstcoXUiPSacBH,0
135,135,rogerkver claims BCH is actually more private than Bitcoin Unsubstantiated claim Were waiting to hear his reasons for saying so,0
136,136,rogerkver criticizes replacebyfee in Bitcoin This is an excellent technology that matches the profitseekâ httpstcogJskhhUbT,0
137,137,rogerkver thinks Bitcoin is controlled by people who openly say they want blocks to be full False Bitcoiâ httpstconzIBGkGxR,0
138,138,During the debate at deconomy with Excellion rogerkver infamously declared that more babies and people aâ httpstcoeRldiy,0
139,139,rogerkver claims that zero confirmation transactions are safe on BCH This is false Zero confirmation transacâ httpstcoLdMbpnZNQ,0
140,140,Last At SeoulBitcoin we want to help people rely on their own understanding of Bitcoin to see through these falâ httpstcoaZrDfhj,0
141,141,rogerkver claims that Bitcoin is slow and expensive while BCH is fast and cheap False Bitcoin is not BOTH sâ httpstcoKpWZfI,0
142,142,HelpfulMillennial  Severing the tie between appsads and your Facebook account    CambridgeAnalytica and their mâ httpstcouyeKopK,0
143,143,for mobile   press bottom right hand button as if you wanted to go to your own page   scroll all the way downâ httpstcoEqmiOqTkG,0
144,144,APPS  There are three settings on this page platform apps others use and old versions of fb   Platform will tellâ httpstcoagaKrRcF,0
145,145,It does not matter how many apps you had running with your info Once platform is disabled they are all disabledâ httpstcoLWKMTKam,0
146,146,go back to the previous page with all  options   click âapps others useâ    This gives you a list of YOUR informatâ httpstcocWKXOCxz,0
147,147,go back to previous page   click âold versions of fb for mobileâ    Now this one is tricky If for example you haâ httpstcouJHTlBOrV,0
148,148,Facebook updates every two weeks like clockwork Meaning youâre most likely running an old version If you are theâ httpstcoZYJvpVp,0
149,149,My regular setting is only friends My âold versionâ setting was public So anything that I posted while running anâ httpstcorbvajVkC,0
150,150,And weâre done with apps Yay   Moving on to     ADS   go back to the page where both apps and ads were an option   click ads,0
151,151,click âyour interestsâ    You may find very specific things here This section told me that a friend of mine was inâ httpstcoCTRltIt,0
152,152,Facebook is running a system where this section liiiterally cannot be empty You canât have  interests  But the mâ httpstcoQROuYNzAEf,0
153,153,This list is the information ad providers can see about you     uncheck everything checked on this list   scroll alâ httpstcoExpwXdYO,0
154,154,This is the list of categories that ad providers have placed you in They will be highly weirdly creepily specifiâ httpstcogAxUdihVr,0
155,155,go back two pages   click âads settingsâ    There are  questions on this page on how they can use info to run advâ httpstcoWaseIFzCFF,0
156,156,go back to previous page    Everything else on this page cannot be be changed Clicking around might be helpful buâ httpstcoMaKknACqH,0
157,157,I hope this was helpful Safe socializinâ people  we live in weird times âð¼ end,0
158,158,Au vu de ce tweet aberrant et de la logorrhÃe anti enquÃªte MuellerFBI questions    y atil  rÃvÃlation danâ httpstcogwbmsRzi,0
159,159,thread Rappel de la situation Trump veut imposer lidÃe que le FBI espionna sa campagne Ã  lÃtÃ  En faiâ httpstcorNzSSxDD,0
160,160,Cet informateur du FBI ex de la CIA reconverti dans la recherche sur le renseignement Stefan Halper rencontrâ httpstcoRcUIWNMR,0
161,161,Mais Trump sen moque la piste de cet informateur levÃe dÃbut mai par son Ãme damnÃe Nunes patron rÃpublicaiâ httpstcoVjdXMyZCIw,0
162,162,Il y a donc  vÃritable course contre la montre initiÃe par Trump il doit parvenir Ã  laide de ce scandale monâ httpstcoiTZAerhy,0
163,163,Car Mueller avance incontestablementRÃvÃlation du nytimes sur les propositions de coopÃration des EAU et dâ httpstcogRAybEzRH,0
164,164,Cest pourquoi Trump littÃralement obsÃdÃ a franchi un er Rubicon ce weekend en exigeant  enquÃªte du minisâ httpstcorfNegBfS,0
165,165,Et quand je parle de Rubicon franchi par Trump pour le coup cest  vrai breaking badaboum car Trump en dilâ httpstcoohZAEXOyd,0
166,166,Car et cest  argument fort pour Trump  rien dans la Constitution ni dans la loi US ninterdit Ã   prÃsidentâ httpstcojnFESjJn,0
167,167,MAIS comme le rappelle le papier de Green et Roiphe toutes les normes de procÃdure du ministÃre de la Justiceâ httpstcoTXPbBVBeni,0
168,168,Trump avait annoncÃ la couleur Ne jamais oublier cette interview fondamentale au nytimes en dÃcembre  Lâ httpstcofloCkjDNoT,0
169,169,Bien sÃr Rosenstein no du ministÃre de la Justice qui supervise lenquÃªte de Mueller a essayÃ de gagnerâ httpstcoDahWQwTkc,0
170,170,Sauf que Rosenstein a cÃdÃ pour la Ãre fois au prÃsident US Trump exigeant  enquÃªteet il a concÃdÃ  autreâ httpstcoNEQHrtER,0
171,171,Ouivous avez bien lu alors que le ministÃre de la Justice et le FBI avaient refusÃ durant  mois de prÃsenterâ httpstcoWNoqsHhdG,0
172,172,Tout est donc prÃªt demain pour lassaut final sur lenquÃªte Mueller car Nunes seul Ã  voir les documents claâ httpstcolmCCPvF,0
173,173,car cest  guerre de destruction qui est menÃe h sur Fox News dans les journauxamis National Reviewâ httpstcoxhROCQua,0
174,174,Bref et pour  fois je vais faire  breaking badaboum en fin de thread  mois de prÃsidence Trump ET   aâ httpstcoCNVWfUlgJo,0
175,175,Et qui retrouveton Ã  la manoeuvre depuis lextÃrieur de la Maison Blanche de cette attaque contre le Deep Sâ httpstcotiPvVIZEH,0
176,176,Breaking KABOOMet voilÃ  peutÃªtre ce qui inquiÃtait tant Trump Cohen son avocat a reÃu selon la BBCâ httpstcomJQNiaABRG,0
177,177,Breaking KABOOM et peu de temps aprÃs le retour de lentrevue de Poroshenko avec Trump en juin  arraâ httpstcoNrSUYrIa,0
178,178,Ive talked before about Russian disinformation and how the goal is to exploit existing divisive issues to weakenâ httpstcoQEthbwnjK,0
179,179,Bernie v Hillary Benghazi amp the email scandal were perfect targets There was already tension amp division on thoâ httpstcoOmjqcDmS,0
180,180,Russia also targeted peopleofcolor specifically black voters to sow distrust of Hillary amp the political processâ httpstcoxbjmUGhtA,1
181,181,Muellers indictment states that a Russian troll farm had the specific goal of discouraging African Americans fromâ httpstcowxiRdBO,1
182,182,Russian accounts Woke Blacks and Blacktivists encouraged followers to vote for rd party candidates or not vote atâ httpstcosCTgCYx,1
183,183,Russian trolls have targeted people of color before posing as American POC and using hashtags to attract specificâ httpstcoxEvFAUYe,1
184,184,An account called BlackMattersUS promoted already scheduled protests amp  connected with well known activists to gaâ httpstcoEZAjdVsD,1
185,185,Russians also used the account Woke Blacks to urge black amp  Muslim voters to vote for Jill Stein or not vote bothâ httpstcooknSm,1
186,186,Muellers indictment details a  year plan to influence the  election using Stein Sanders amp inflaming racialâ httpstcolNpYIuAfm,1
187,187,The FBI obtained emails from a Russian in St Petersburg telling her family about a crisis at work when the FBI diâ httpstcodgvIAwSK,1
188,188,Two Russian women visited  US states in summer  including key electoral states to gather intelligence  findâ httpstcoLIlJMFtP,1
189,189,racism is nothing new to Putin who suggested that Ukrainians Tatars and Jews with Russian citizenship could beâ httpstcoUrHMhFnl,1
190,190,Clint Watts selectedwisdom is positive that Putin that was behind the disinformation campaign to help Trump win thâ httpstcojnmlAKBXD,1
191,191,So we now KNOW that one of Putins strategies was to target POC and convince them to vote rd party which split thâ httpstcoiVjVcmKDs,1
192,192,This worked very well for Putin and so far theres no proof tying this to him  I expect to see Russians posing asâ httpstcoearttAm,1
193,193,Putin WILL KEEP DOING THIS   And we all know how awful Twitter is about shutting down bots amp trolls He owns trumpâ httpstcoQrBAUzExa,1
194,194,TheResistance has been more effective than Trump and the GOP thought it could be That means were a threat andâ httpstcoIrVykA,1
195,195,Taking back congress would be a huge blow to Trump and the GOP and Putin worked hard to help Trump win He will tâ httpstcoCNLrPNNNvY,1
196,196,So stay sharp Read about this hybridwar and the very real danger of Russias disinformation campaigns You cantâ httpstcoJRUNQRQ,1
197,197,Heres a Moment of threads about RussianTalkingPoints disinfomation and the HybridWar  httpstcosmrIVra,1
198,198,Remember this from January  The Data That Turned the World Upside Down    psychometrics OCEAN Psychographics  httpstcogcKqaGfri,1
199,199,The Big Five OCEAN has become the standard technique of psychometrics But for a long time the problem was datâ httpstcoockgbZBIUN,1
200,200,Kosinski and his team could now ascribe Big Five values based on how many profile picturescontacts a person has onâ httpstcosTRjFdw,1
201,201,Not only can psychological profiles be created from your data but your data can also be used in reverse to searchâ httpstcotzFRRsOW,1
202,202,SCL is the parent of a group of companies Hard to say who exactly owns SCL thanks to a convoluted corporate structâ httpstcoFALYNaO,1
203,203,Some SCL branches have been  âªinvolved in elections fromÂ Ukraine to Nigeria  âªhelpedÂ the Nepalese monarchÂ against thâ httpstcoJufTVvYr,1
204,204,November LeaveEU supported by FarageÂ announcedÂ it had commissioned a Cambridge Analytica The companys câ httpstcoPXlmPypMC,1
205,205,just over a month before the US elections decisionmakers from all over the world attended Concordia Summâ httpstcongmBOsaW,1
206,206,A few weeks earlier Trump tweeted  Soon youll be calling me Mr Brexit    Some noticed similarities between Trumâ httpstcoLMzbqbFDQ,1
207,207,It is my privilege to speak to you today about the power of Big Data and psychographics in the electoral processâ httpstcocrNgfAg,1
208,208,At Cambridge he said we were able to form a model to predict the personality of every single adult in the United States of America,1
209,209,According to Nix the success of Cambridge Analyticas marketing is based on a combination of behavioral science usâ httpstcomOYSpVw,1
210,210,First Cambridge Analytica buys personal data from a range of different sources like land registries automotive dâ httpstcoIiPuBovhzI,1
211,211,cambridgeanalytica aggregates this data with the electoral rolls of the Republican party and online data    Thisâ httpstcoETzEUHoO,1
212,212,Digital footprints suddenly become real people with fears needs interests and residential addresses cambridgeanalytica,1
213,213,cambridgeanalytica also uses Nix told us surveysÂ on social media and Facebook data And the company does exactâ httpstcoLBmVwjAh,1
214,214,Not creepy at aaaallll httpstcogluAbGGGB,1
215,215,Broke my thread againoops  httpstcouzuxXZOV,1
216,216,Most of history is a total lie designed by people wanting to infer meaning of historical events in a modern coâ httpstcoCuVntoWxLA,1
217,217,Even within this tweetstorm are probably a lot of missing nuances  Do tell your stories    I will start afterâ httpstcocmpJnw,1
218,218,Why did AHitler repeatedly say GER was betrayed    Another force was present one that was not a nation stateâ httpstcoOjlXAMyjzH,1
219,219,Why did the Germans even though a foreign boot never shot a boot on their soil make overtures of peace to endâ httpstcoBVGCQsAn,1
220,220,Why would defeated nations not accept defeat    Here comes the grand deal of WWI  Palestine  And the stab in tâ httpstcoJrhKim,1
221,221,But even in this state GER was offering England peace terms  What were they aware of    Was is it that nonnaâ httpstcoliDXKDLq,1
222,222,Thats where  years of trouble started    Not making apologies for Germany rather develop an understanding ofâ httpstcosxzEqInH,1
223,223,The Brits desperate to make a deal would have to pay up after defeating GER HUN AUT TUR    Oct  Oâ httpstcoAyomqvsqND,1
224,224,Who had the resources to make such stunning assurances    Roths    The USA was brought into WWI to defeat Germanyâ httpstcoElRNFm,1
225,225,If you think for a second this is a Jewish thing you have missed the point completely  Anyone who had damageâ httpstcoYhNlBLBQLz,1
226,226,You can turn the clock back to ancient rome same garbage different tools    This story has the most relevanâ httpstcoWyyyZjGq,1
227,227,This story ends way short of its historical truth but that is intentional because its really a story about today  Qanon,1
228,228,The same powers controlling the world during this time are almost the same as today  But in Rome we had the saâ httpstcoFEtqMgNN,1
229,229,And there we go  Those unformed about history are forced to repeat it    Those very powerful hold the levers toâ httpstcopHkLCOqwV,1
230,230,Draw the inference friends    If lack of information allows for horrific historical outcomes who is preventinâ httpstcoueJUfXpef,1
231,231,Only one answer    IBOR    InternetBillOfRights     InternetBillOfRightsNow    The media data monsters are in bed wâ httpstcoxNZlmtxjR,1
232,232,This is why you never hear about china in news  Russias a distraction from the new influences in our worldâ httpstcoHlAtMgIY,1
233,233,SoCIA is about to go back on with Thinking like a Red A Consideration of the Ethics of Terraforming in light oâ httpstcoNoOAJQtS,1
234,234,This talk is focusing on Ann Clayborne inadvertent founder of Reds antiterraforming movement in the KSR books Whâ httpstcozgBtdf,1
235,235,We are for this argument assuming no indigenous Mars life so any obligations are toward Mars itself amp the nonliâ httpstcojiKSKBvV,1
236,236,Can understanding her arguments help us formulate our own arguments aboutagainst terraforming It seems like Ann iâ httpstcoRMAvLQYY,1
237,237,Some illustrative Clayborne quotes from Red Mars Unique geology and chemistry the land has to be thoroughly stâ httpstcoYkiyfzbsU,1
238,238,after terraforming it well wonder why when we look at the land we can never see anyting but our own facesâ httpstcoaAnklTWt,1
239,239,Five themes  Scientific amp aesthetic reasons not to terraform  History of mars age amp processes have value â httpstcoJBjLoNd,1
240,240,Theme Scientificaesthetic These are anthropocentric reasons so while good are insufficient  they have to coâ httpstcoqCcjTFs,1
241,241,But which historical processesentities have value Wilderness is about valuing ecological mechanisms that maintainâ httpstcoOFHbmgGzBD,1
242,242,Theme History Has Value Origins of objects are part of their explanations  including wilderness causal continuâ httpstcozkSnakuEz,1
243,243,Autonomy if an entitys existingfunctioning is independent of us then we should recognize it also has value independent on us,1
244,244,Theme Mars independent of us not forbecause of us Similar theme from philosophy NonTeleology We value humaâ httpstcoyTbYtIyse,1
245,245,Theme no mirror imageartifact Follows from themes  because terraforming would destroy its causal continuitâ httpstcomaHiECVvN,1
246,246,Theme consistent environmental ethic Builds on last  themes plus Aldo Leopolds Land Ethic interdependence oâ httpstcoolSxBNYM,1
247,247,But some of this Leopold fellas ideas apply Conquerer role colonialism causes bad shit Soilwateretc should nâ httpstcomBklZP,1
248,248,So add that last bit to our initial list of values  Rejection of Conquerer Role and the attitude that casts nonâ httpstcoQvtwknOuJ,1
249,249,threadreaderapp unroll,1
